
hissatuwaza,PLAYER_ULT_0001,89,25.7821
tsuyoikougeki,PLAYER_ULT_0002,52,25.1976
muryoukuusyo,PLAYER_ULT_0003,109,35.4864
faiya-torune-do,PLAYER_ULT_0004,174,23.0546
hukumamizushi,PLAYER_ULT_0005,166,10.9068
kanngouanneitei,PLAYER_ULT_0006,59,32.5106
doryaaa,PLAYER_ULT_0007,179,29.0142
mazinaguri,PLAYER_ULT_0008,82,33.7096
kyoukougeki,PLAYER_ULT_0009,184,33.8069
hissatuwaza2,PLAYER_ULT_0010,96,37.7401
kamehameha,PLAYER_ULT_0011,190,10.7446
8.6byoubazu-ka,PLAYER_ULT_0012,182,25.4899
yatsuatari,PLAYER_ULT_0013,108,24.0364
hissatuwaza3,PLAYER_ULT_0014,63,27.8755
hissatuwaza4,PLAYER_ULT_0015,108,21.147
kaennhousya,PLAYER_ULT_0016,188,13.3449
ryuuseigunn,PLAYER_ULT_0017,127,21.8842
tamagokakegohann,PLAYER_ULT_0018,151,32.0441
1+1=2,PLAYER_ULT_0019,52,20.9647
tsuyotsuyobi-mu,PLAYER_ULT_0020,198,17.5251
yowaikougeki,PLAYER_ULT_0021,108,25.9131
hissatsuwaza7,PLAYER_ULT_0022,188,12.5322
aaaaa,PLAYER_ULT_0023,146,28
